"target","variant","cause","domain","lambda"
"Bohol","BFL_partial","COPD","UP",0.524577208888636
"Bohol","BFL_partial","Acute Myocardial Infarction","UP",0.00737506227889631
"Bohol","BFL_partial","Fires","UP",0.172773066648708
"Bohol","BFL_partial","Renal Failure","UP",0.0501407088945191
"Bohol","BFL_partial","AIDS","UP",0.142806385479316
"Bohol","BFL_partial","Lung Cancer","UP",0.050917807181265
"Bohol","BFL_partial","Maternal","UP",0.183699010385021
"Bohol","BFL_partial","Drowning","UP",0.208418842573827
"Bohol","BFL_partial","Other Cardiovascular Diseases","UP",0.159582899040253
"Bohol","BFL_partial","Other Non-communicable Diseases","UP",0.025145809417661
"Bohol","BFL_partial","Falls","UP",0.0298560013183769
"Bohol","BFL_partial","Stroke","UP",0.0299509884396945
"Bohol","BFL_partial","Road Traffic","UP",0.0205664794645764
"Bohol","BFL_partial","Bite of Venomous Animal","UP",0.298079771093985
"Bohol","BFL_partial","Diabetes","UP",0.0193108359994308
"Bohol","BFL_partial","Other Infectious Diseases","UP",0.380171506922287
"Bohol","BFL_partial","TB","UP",0.0416101975697463
"Bohol","BFL_partial","Suicide","UP",0.179334824696242
"Bohol","BFL_partial","Other Injuries","UP",0.1403589879526
"Bohol","BFL_partial","Cervical Cancer","UP",0.154968465495431
"Bohol","BFL_partial","Malaria","UP",0.278126013471725
"Bohol","BFL_partial","Asthma","UP",0.161231215522854
"Bohol","BFL_partial","Diarrhea/Dysentery","UP",0.23683064003965
"Bohol","BFL_partial","Colorectal Cancer","UP",0
"Bohol","BFL_partial","Homicide","UP",0.0255484730596493
"Bohol","BFL_partial","Breast Cancer","UP",0.0434415181497189
"Bohol","BFL_partial","Leukemia/Lymphomas","UP",0.0442622381076109
"Bohol","BFL_partial","Poisonings","UP",0.368440334484304
"Bohol","BFL_partial","Prostate Cancer","UP",0
"Bohol","BFL_partial","Esophageal Cancer","UP",0
"Bohol","BFL_partial","Stomach Cancer","UP",0
"Bohol","BFL_domain","Cirrhosis","Mexico",0.593191660892352
"Bohol","BFL_domain","Epilepsy","Mexico",0.202610399331275
"Bohol","BFL_domain","Pneumonia","Mexico",0.0314739109140121
"Bohol","BFL_domain","COPD","Mexico",0.483319459984114
"Bohol","BFL_domain","Acute Myocardial Infarction","Mexico",0.0147601699550345
"Bohol","BFL_domain","Fires","Mexico",0.16503961698775
"Bohol","BFL_domain","Renal Failure","Mexico",0.0383792762118503
"Bohol","BFL_domain","AIDS","Mexico",0.197348551345047
"Bohol","BFL_domain","Lung Cancer","Mexico",0.324205737026724
"Bohol","BFL_domain","Maternal","Mexico",0.0618055979437758
"Bohol","BFL_domain","Drowning","Mexico",0
"Bohol","BFL_domain","Other Cardiovascular Diseases","Mexico",0.493928437525831
"Bohol","BFL_domain","Other Non-communicable Diseases","Mexico",0.0978046503035043
"Bohol","BFL_domain","Falls","Mexico",0.178882082446387
"Bohol","BFL_domain","Stroke","Mexico",0.00802435285094856
"Bohol","BFL_domain","Road Traffic","Mexico",0.0595471741444327
"Bohol","BFL_domain","Bite of Venomous Animal","Mexico",0.24200918719374
"Bohol","BFL_domain","Diabetes","Mexico",0.222933626396313
"Bohol","BFL_domain","Other Infectious Diseases","Mexico",0.180907080633976
"Bohol","BFL_domain","TB","Mexico",0.0349288661392476
"Bohol","BFL_domain","Suicide","Mexico",0.0682367341148567
"Bohol","BFL_domain","Other Injuries","Mexico",0.149391962073867
"Bohol","BFL_domain","Cervical Cancer","Mexico",0.199851473997979
"Bohol","BFL_domain","Malaria","Mexico",0
"Bohol","BFL_domain","Asthma","Mexico",0.170136302212644
"Bohol","BFL_domain","Diarrhea/Dysentery","Mexico",0.111845593987957
"Bohol","BFL_domain","Colorectal Cancer","Mexico",0.285571293962435
"Bohol","BFL_domain","Homicide","Mexico",0.650515442829655
"Bohol","BFL_domain","Breast Cancer","Mexico",0.601324482392744
"Bohol","BFL_domain","Leukemia/Lymphomas","Mexico",0.759987063840725
"Bohol","BFL_domain","Poisonings","Mexico",0.15502745517824
"Bohol","BFL_domain","Prostate Cancer","Mexico",0.251204701475473
"Bohol","BFL_domain","Esophageal Cancer","Mexico",0
"Bohol","BFL_domain","Stomach Cancer","Mexico",0.268527230948302
"Bohol","BFL_domain","Cirrhosis","AP",0.222833534435863
"Bohol","BFL_domain","Epilepsy","AP",0.206172312547613
"Bohol","BFL_domain","Pneumonia","AP",0.0558465130682378
"Bohol","BFL_domain","COPD","AP",0.146035022801652
"Bohol","BFL_domain","Acute Myocardial Infarction","AP",0.705742408316244
"Bohol","BFL_domain","Fires","AP",0.171218713271509
"Bohol","BFL_domain","Renal Failure","AP",0.711659788817339
"Bohol","BFL_domain","AIDS","AP",0.467459982416041
"Bohol","BFL_domain","Lung Cancer","AP",0.169390771667849
"Bohol","BFL_domain","Maternal","AP",0.468388848878196
"Bohol","BFL_domain","Drowning","AP",0.24922131911968
"Bohol","BFL_domain","Other Cardiovascular Diseases","AP",0.224252301997426
"Bohol","BFL_domain","Other Non-communicable Diseases","AP",0.367649237486591
"Bohol","BFL_domain","Falls","AP",0.168315292147365
"Bohol","BFL_domain","Stroke","AP",0.128966021733396
"Bohol","BFL_domain","Road Traffic","AP",0.80483696476172
"Bohol","BFL_domain","Bite of Venomous Animal","AP",0.269770425781513
"Bohol","BFL_domain","Diabetes","AP",0.618451877776656
"Bohol","BFL_domain","Other Infectious Diseases","AP",0.16014602173322
"Bohol","BFL_domain","TB","AP",0.827027219541196
"Bohol","BFL_domain","Suicide","AP",0.591393096997748
"Bohol","BFL_domain","Other Injuries","AP",0.205095124621251
"Bohol","BFL_domain","Cervical Cancer","AP",0.20043756285538
"Bohol","BFL_domain","Malaria","AP",0.232815453933993
"Bohol","BFL_domain","Asthma","AP",0.165634459557793
"Bohol","BFL_domain","Diarrhea/Dysentery","AP",0.242363964789267
"Bohol","BFL_domain","Colorectal Cancer","AP",0.238465155188414
"Bohol","BFL_domain","Homicide","AP",0.0742878258826313
"Bohol","BFL_domain","Breast Cancer","AP",0.0559227196606735
"Bohol","BFL_domain","Leukemia/Lymphomas","AP",0.0599627755673203
"Bohol","BFL_domain","Poisonings","AP",0.158202475358874
